         2717892 function calls (2667351 primitive calls) in 12.839 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.633    1.633 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/compat/__init__.py:1(<module>)
        1    0.000    0.000    1.633    1.633 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ragged/__init__.py:1(<module>)
        1    0.000    0.000    1.630    1.630 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ragged/ragged_tensor.py:1(<module>)
        1    0.000    0.000    1.548    1.548 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ragged/ragged_ops.py:1(<module>)
        1    0.000    0.000    1.531    1.531 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/models/__init__.py:1(<module>)
        1    0.000    0.000    1.528    1.528 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/models/functional.py:1(<module>)
        1    0.000    0.000    1.525    1.525 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/models/model.py:1(<module>)
        1    0.000    0.000    1.511    1.511 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/__internal__/feature_column/__init__.py:1(<module>)
        1    0.001    0.001    1.505    1.505 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/feature_column/feature_column_v2.py:1(<module>)
     9703    0.467    0.000    1.502    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:2333(_signature_from_function)
        1    0.000    0.000    1.488    1.488 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/trainers/trainer.py:1(<module>)
        1    0.000    0.000    1.487    1.487 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/trainers/data_adapters/__init__.py:1(<module>)
3137/3057    0.133    0.000    1.479    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    1.477    1.477 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/trainers/data_adapters/array_data_adapter.py:1(<module>)
        1    0.000    0.000    1.474    1.474 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/trainers/data_adapters/array_slicing.py:1(<module>)
        1    0.000    0.000    1.470    1.470 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/__init__.py:1(<module>)
4502/4476    0.278    0.000    1.464    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    1.431    1.431 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/feature_column/feature_column.py:1(<module>)
3082/3073    0.028    0.000    1.420    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    1.413    1.413 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/layers/base.py:1(<module>)
        1    0.000    0.000    1.409    1.409 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/__init__.py:1(<module>)
        1    0.000    0.000    1.405    1.405 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/models.py:1(<module>)
     7117    0.024    0.000    1.324    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:3278(signature)
     7139    0.024    0.000    1.305    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:3024(from_callable)
        1    0.003    0.003    1.282    1.282 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/compat/v1/__init__.py:1(<module>)
        1    0.000    0.000    1.242    1.242 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/tensor_array_ops.py:1(<module>)
        1    0.000    0.000    1.120    1.120 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/api.py:1(<module>)
     1513    0.011    0.000    1.045    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5963(to_raw_op)
